step,stable_train_l2,fast_train_l2,stable_val_l2,fast_val_l2,stable_total_sec,fast_total_sec,stable_lr,fast_lr,abs_diff_train_l2,abs_diff_val_l2
535,-0.09804472256387028,-0.09804472256388223,-0.05814032213486306,-0.05814032213481678,214.43688903702423,207.27088366798125,0.00015585566830793882,0.00015585566830793882,1.1948775302528247e-14,4.6282422339061213e-14
540,-0.09815049434766591,-0.09815049434768021,-0.05807862974824736,-0.0580786297481856,216.3979435141664,209.27375769102946,0.0001407169276719,0.0001407169276719,1.429412144204889e-14,6.175615574477433e-14
545,-0.09823453551523526,-0.09823453551525126,-0.05809526171839477,-0.058095261718318816,218.33339827717282,211.18883113889024,0.00012663148022592363,0.00012663148022592363,1.600108934241007e-14,7.595313267216852e-14
550,-0.09830578191002079,-0.09830578191003675,-0.05811810062090747,-0.0581181006208277,220.28154491703026,213.13766576093622,0.00011363793320239162,0.00011363793320239162,1.5959455978986625e-14,7.97695243193175e-14
555,-0.09838747155851972,-0.09838747155853209,-0.05813412085394466,-0.05813412085388486,222.20181696815416,215.10210952698253,0.0001017719010105253,0.0001017719010105253,1.2365108936762681e-14,5.97993876638725e-14
560,-0.09845152768834892,-0.09845152768836092,-0.05811205270359254,-0.05811205270353424,224.13425690704025,217.0068267940078,9.106590761976454e-05,9.106590761976454e-05,1.2004286453759505e-14,5.830058658062853e-14
565,-0.09849919715540342,-0.09849919715541358,-0.05811622131950975,-0.05811622131946137,226.1506619111169,218.92630744492635,8.154929741382923e-05,8.154929741382923e-05,1.0158540675320182e-14,4.8377968298041196e-14
570,-0.09854719872201122,-0.09854719872202268,-0.05810769804207695,-0.0581076980420223,228.1004910650663,220.82758625992574,7.324815475980207e-05,7.324815475980207e-05,1.1463052729254741e-14,5.465072838717333e-14
575,-0.09859068154042062,-0.09859068154043167,-0.05813860449053933,-0.05813860449048498,230.17498403904028,222.78909157402813,6.61852325126926e-05,6.61852325126926e-05,1.1046719095020308e-14,5.434541705540141e-14
580,-0.09862442536652907,-0.09862442536653897,-0.0581756786727943,-0.058175678672745965,232.08553963410668,224.75856392807327,6.0379889651442304e-05,6.0379889651442304e-05,9.894862706971708e-15,4.833633493461775e-14
585,-0.09865026291855084,-0.09865026291856255,-0.058212645215411946,-0.0582126452153543,234.14570888900198,226.68837536405772,5.584803821730961e-05,5.584803821730961e-05,1.1712852909795402e-14,5.764833055366125e-14
590,-0.09867409355427895,-0.0986740935542889,-0.05826044759196036,-0.058260447591909584,236.12733432115056,228.6115495560225,5.260209970007019e-05,5.260209970007019e-05,9.950373858202965e-15,5.07788255887931e-14
595,-0.09869813634361706,-0.09869813634362634,-0.0582941056917672,-0.058294105691717335,238.14485966507345,230.5185331280809,5.065097099157743e-05,5.065097099157743e-05,9.284240043427872e-15,4.986289159347734e-14
600,-0.09871915641249429,-0.0987191564125042,-0.058320122122166834,-0.0583201221221121,240.10783710796386,232.4436932608951,5e-05,5e-05,9.908740494779522e-15,5.473399511402022e-14
